,会社名,URL,仕事内容,対象者,勤務地,給与
0,株式会社ISS ,http://tenshoku.mynavi.jp/jobinfo-242666-1-24-1/msg,★入社後３カ月間、基礎から学習！研修後は適性や希望に合わせて、開発エンジニアとITインフラエンジニアのいずれかでご活躍いただきます。,◆学歴不問★未経験者歓迎★第二新卒歓迎★未経験者だけでなく、もちろん経験者も歓迎します！,★リモートワーク実施中 ◆本社（社内開発／東京都品川区西五反田）もしくは、東京23区・神奈川県（横…,"【経験者の方】
月給26万円～60万円+各種手当+賞与年2回

※経験・スキル・能力・前職給与などを考慮して…"
1,株式会社フジワーク ,http://tenshoku.mynavi.jp/jobinfo-307146-1-2-1/msg,自社製品開発、自社内受託開発のほか客先常駐開発など、多種多様なプロジェクトあり！あなたのスキルや経験に合わせてお仕事をお任せします！,【10名以上の大型増員募集】業種未経験◎学歴・転職回数・ブランク不問★システム開発・インフラ・組込みいずれかのご経験者※保守・運用経験者も歓迎,【転勤なし／在宅勤務可／U・Iターン歓迎】 大阪本社、東京本社、高槻本部、那覇事業所もしくは関西圏…,"月給22万円～60万円＋各種手当＋残業代100％支給＋賞与年2回
※開発実績・経験・スキルを考慮した上で、…"
2,株式会社リクルートスタッフィング情報サービス ,http://tenshoku.mynavi.jp/jobinfo-288781-1-67-1,【手厚い研修＆同期と一緒で心強い★資格取得でお祝い金GET】まずはITの基礎研修からスタート★簡単なIT業務からスキルアップしていけます！,【1・2月入社積極採用！】◆学歴不問◆様々な前職の先輩方が活躍中◆文系出身者は約8割◆平均年齢28歳《未経験・第二新卒、社会人デビュー大歓迎》,東京エリア(東京、神奈川、千葉、埼玉)または大阪エリア(大阪、京都、兵庫、奈良)での勤務 【東京エ…,"■首都圏：月給18万8000円以上＋各種手当＋賞与年2回
■関西：月給17万8000円以上＋各種手当＋賞与年2回
…"
3,株式会社テクノプロ ,http://tenshoku.mynavi.jp/jobinfo-164102-1-71-1,【研究開発職(化学・バイオ分野)】医療・医薬品/バイオ/材料開発/環境/エネルギー/エレクトロニクス等、多彩なプロジェクトで活躍してください!,【23年春入社歓迎/正社員採用/年収UPも可能】大卒/高専卒/専門卒かつ研究経験1年以上ある方、または理系大学修士課程修了以上（実務未経験歓迎）の方,□全国各地の研究所(プロジェクト先：企業・大学・公的機関など) □当社リサーチセンター【受託研究(…,"月給23万円以上＋賞与年2回＋各種手当
※経験・年齢・スキルなどを考慮のうえ、決定いたします。

＜評価…"
4,ラーニンギフト株式会社  ,http://tenshoku.mynavi.jp/jobinfo-257755-1-18-1/msg,【インフラエンジニア】 ★毎月新規7800案件の中から、スキルや希望に応じてアサインします。,学歴不問　＜職種・業種未経験、第二新卒者、歓迎＞,全国47都道府県のプロジェクト先または本社（渋谷区） ◎勤務地は希望を考慮。転勤はありません。 ◎…,"◇経験2年未満の方：月給23万円～35万円
※IT業界にて何らかの実務経験1ヶ月以上の方
※何らかの言語でプ…"
5,株式会社スロアストン ,http://tenshoku.mynavi.jp/jobinfo-262047-1-3-1,プロジェクトの中心を担うメインエンジニア★「アクション対魔忍」に続くヒット作を生んでください,クライアントサイド（Unityなど）での開発orサーバサイド（AWSやAzureなど）での開発経験,【大阪・東京で募集！】 ※勤務地は希望を考慮の上で決定します。 大阪本社／大阪府大阪市中央区安堂寺…," 月給28万円～ ＋住宅手当＋家族手当＋交通費（全額支給）

※経験・スキル等に応じて、当社規定により優…"
6,ヒューマンリレーションネクスト株式会社 ,http://tenshoku.mynavi.jp/jobinfo-130378-1-57-1,【大手直請案件が9割以上◎毎月5000件以上のPJ依頼あり】あなたのスキル・ご経験・ご希望をもとに、インフラ・開発各領域から最適なPJが選べます！,【学歴不問】ITエンジニアとしての実務経験をお持ちの方　※実務経験2年以上の方やPL、PM経験者は高待遇で優遇！10か月など微経験も歓迎！,【転勤なし／在宅併用PJ多数】東京、神奈川、千葉のPJ先　※新宿／品川／有楽町／横浜／海浜幕張et…,"【経験者】
月給28万円以上　＋昇給随時＋賞与（年2回）
★経験者は前職給与以上を保証します！
※ご経験…"
7,株式会社ONE-TECH ,http://tenshoku.mynavi.jp/jobinfo-315276-1-4-1,完全未経験からでもしっかり育てるトレーニングからスタート★チームで参画するできるプロジェクトがメインなので安心です★土日祝休み×残業月5hほど,学歴・ブランク・転職回数など不問☆社会人未経験・第二新卒の方もぜひご応募ください☆リモートワークなどライフスタイルに合わせて働きたい方もOK,本社、または東京・神奈川・千葉・埼玉のプロジェクト先 ※希望を考慮し決定します。 【本社】 東京都…,"月給：20万円～60万円

※経験・能力・スキル等を考慮の上、当社規定により決定します。
※固定残業代10…"
8,株式会社SHIFT ,http://tenshoku.mynavi.jp/jobinfo-261825-1-43-1,＜まずはSHIFTの品質保証・テストのノウハウ習得から＞ テスト設計からメンバーマネジメントまで、あなたのレベルに応じた業務をお任せ。,＜専門性を身につけて、長くキャリアを描いていきたい方を求めています＞◆学歴不問◆何らかのシステム開発、もしくはテスト業務の経験をお持ちの方,★【リモートワーク実施中です】★ ●UIJターン大歓迎 ●本人の意志に沿わない、転居を伴う転勤はあ…,"■月給 35万～49万5,834円（一律手当含む）
＜内訳＞
基本給:20万3,900円～31万1,834円
固定残業代:9万1,…"
9,株式会社KDDIエボルバ ,http://tenshoku.mynavi.jp/jobinfo-286968-1-21-1/msg,テスターやヘルプデスク、インフラ運用監視などエントリークラスの業務からスタート◎将来的には大規模PJを担うエンジニアが目指せます,【経験・知識は不問！第二新卒歓迎！】◎「IT業界は初めて」「ITに興味がある」という方、歓迎！★定着率95％・居心地の良さはバツグン！,【転勤なし☆東京・埼玉・千葉・神奈川など首都圏で募集中！】※希望を考慮します。 ★定着率95％の好…,"月給21万円～25万円+残業手当（1分単位で支給）+諸手当
※支給額は年齢、能力により、当社規定により決定…"
10,株式会社 ＨＡＬ ,http://tenshoku.mynavi.jp/jobinfo-93271-1-13-1,＜あなたの希望の案件・技術・働き方をできる限り叶えます！＞開発プロジェクトやインフラ案件などやりたい仕事に挑戦してください！,＜知識ゼロ・未経験OK＞ ◆必須条件は社会人経験のみ！ ※経験1年程の方も経験者として最大限評価します！(スキルチェンジも大歓迎！),《リモートワーク可／会社都合による転勤は一切なし！》 ☆本人のご希望・居住地を考慮し、案件をご案内…,"≪関東・関西・東海エリア≫
月給40万円～(開発経験5年以上)
月給35万円～(3年以上)
月給30万円～(3年未…"
11,アンリミ株式会社 ,http://tenshoku.mynavi.jp/jobinfo-194488-1-29-1,《完全WEB面接＆面接保証》ビジネスマナーやエクセル、IT基礎知識を研修で教えちゃる！テストや開発への挑戦、運用保守など希望案件をしてみるばい！,《転職回数/志望動機不問/テレワーク有》「エンジニアになりたか～」「いまの状況ば変えたか～」⇒よかよ！アンリミで一緒に成長しよに★29歳までの方,◆福岡県内のクライアント先 ★テレワーク率60％以上！ （現場により完全テレワークもあり ※新人不…,"月給38万円～(上流3年以上)
月給28万円～37万円(開発3年以上)
月給19万円～27万円(未経験～開発3年未満)
…"
12,Modis株式会社 ,http://tenshoku.mynavi.jp/jobinfo-106763-1-43-1,【最短でPMへのステップアップが可能】Modisの受託開発部門で、プリセールスやソリューション提案を行います。,ネットワークやサーバの設計・構築経験またはアプリケーションの設計・開発経験（いずれも3年以上）をお持ちの方,関東・中部・関西の事業所 ※勤務地エリア限定制度有 ※リモートワークを活用しながら勤務形態多数 【…,"【基本給】月給30万～45万円（+別途手当支給）
※支給額は年齢、能力により、当社規定により決定します。…"
13,株式会社ラクスパートナーズ ,http://tenshoku.mynavi.jp/jobinfo-107621-1-32-1/msg,【15名以上の同期と学び合える】◆専任講師の指導で知識・スキルを習得後、プロジェクト先に配属 ★配属後も手厚いフォローでサポートします！,【未経験・第二新卒歓迎／9割が未経験入社／文系出身者も多数活躍中】◆「エンジニアとして成長する」という意欲がある方歓迎 ★女性活躍中！,【転勤なし／UIターン歓迎／駅近オフィス】 ≪本社・ラーニングセンター≫ または ≪東京23区を中…,"■月給23万円～
（別途、各種手当・賞与年2回有） 

※月間20時間分（3万1,094円～）の見込み残業代を含…"
14,株式会社クオリア・リンクス ,http://tenshoku.mynavi.jp/jobinfo-223287-1-2-1,【PCに触ったことがなくても大丈夫♪】1カ月研修からスタート！研修後、サポート事務・ゲーム・アプリ・Web等に携われます ★在宅ワーク導入！,＜ゲーム・アニメ好き集まれ♪・志望動機不問＞◎経験者／未経験者・第二新卒・ブランクある方も大歓迎 ／年間休日125日 )※平均年齢25歳,★転勤なし★新オフィスに移転！ 本社／東京都中央区築地2丁目1番16号　STRADA GINZA…,"月給19万5,000円～＋諸手当（交通費全額支給、資格手当、報酬金制度など）

★経験・スキル・年齢・前職…"
15,株式会社アクロビジョン ,http://tenshoku.mynavi.jp/jobinfo-230455-1-57-1/msg,インフラ、クラウド、アプリ・システム開発など幅広い案件でご活躍いただきます。★フルリモート可 ★前職から年収100万円UPの実績も！,ITエンジニア実務経験者優遇（経験2年以上が目安／インフラ・アプリ開発など技術領域は問いません）　※エンジニア未経験者のチャレンジも歓迎,★本社または各拠点近郊のプロジェクト先 ★希望のエリアを選べます！I・Uターン歓迎！ ★転勤無し…,"【経験者】
・月給：27～50万円（関東・関西・愛知・福岡・宮城・広島）
・月給：25～50万円（その他拠点…"
16,株式会社ARS ,http://tenshoku.mynavi.jp/jobinfo-99934-1-4-1,★時間単位の有給取得OK ★時短勤務制度あり ◎自社パッケージの企画～導入・販売、受託業務系システム(オープン・Web系・組込系)の構築・設計・開発,★フルリモートあり★毎週土日祝休み ◎何らかのプログラミングorシステムエンジニアの経験・知識がある方(年数不問)  ◎高卒以上,◇◆UIターン歓迎／原則転勤無し◆◇ 【熊本】【鹿児島】【福岡】【東京】【沖縄】 5拠点のうち、ご…,"月給18万円～35万円 ＋ 残業代

※上記にプラス基本残業手当（100％支給）、
　各種諸手当を別途支給しま…"
